Date,24 hr New Snow,Season Snowfall Total,Base Depth
2-Jan-17,13 cm,13 cm,152 cm
3-Jan-17,46 cm,59 cm,188 cm
4-Jan-17,5 cm,64 cm,188 cm
5-Jan-17,28 cm,92 cm,185 cm
8-Jan-17,8 cm,100 cm,185 cm
9-Jan-17,13 cm,113 cm,185 cm
10-Jan-17,28 cm,141 cm,208 cm
11-Jan-17,18 cm,159 cm,208 cm
12-Jan-17,15 cm,174 cm,229 cm
13-Jan-17,10 cm,184 cm,234 cm
14-Jan-17,3 cm,187 cm,226 cm
20-Jan-17,13 cm,200 cm,216 cm
21-Jan-17,43 cm,243 cm,239 cm
22-Jan-17,43 cm,286 cm,239 cm
23-Jan-17,23 cm,309 cm,267 cm
24-Jan-17,56 cm,365 cm,295 cm
25-Jan-17,10 cm,375 cm,307 cm
26-Jan-17,18 cm,393 cm,307 cm
27-Jan-17,5 cm,398 cm,305 cm
3-Feb-17,5 cm,403 cm,257 cm
4-Feb-17,8 cm,411 cm,259 cm
5-Feb-17,3 cm,414 cm,259 cm
7-Feb-17,10 cm,424 cm,259 cm
8-Feb-17,10 cm,434 cm,262 cm
11-Feb-17,41 cm,475 cm,279 cm
12-Feb-17,5 cm,480 cm,284 cm
18-Feb-17,5 cm,485 cm,267 cm
19-Feb-17,20 cm,505 cm,272 cm
20-Feb-17,23 cm,528 cm,297 cm
22-Feb-17,30 cm,558 cm,328 cm
23-Feb-17,33 cm,591 cm,340 cm
24-Feb-17,46 cm,637 cm,361 cm
25-Feb-17,13 cm,650 cm,366 cm
26-Feb-17,3 cm,653 cm,348 cm
27-Feb-17,10 cm,663 cm,348 cm
28-Feb-17,43 cm,706 cm,373 cm
1-Mar-17,13 cm,719 cm,363 cm
6-Mar-17,33 cm,752 cm,363 cm
7-Mar-17,3 cm,755 cm,356 cm
8-Mar-17,3 cm,758 cm,351 cm
22-Mar-17,8 cm,766 cm,295 cm
23-Mar-17,8 cm,774 cm,300 cm
24-Mar-17,15 cm,789 cm,315 cm
26-Mar-17,15 cm,804 cm,310 cm
28-Mar-17,33 cm,837 cm,338 cm
31-Mar-17,18 cm,855 cm,335 cm
5-Jan-16,3 cm,3 cm,130 cm
6-Jan-16,5 cm,8 cm,135 cm
7-Jan-16,13 cm,21 cm,142 cm
8-Jan-16,15 cm,36 cm,150 cm
9-Jan-16,3 cm,39 cm,150 cm
10-Jan-16,3 cm,42 cm,150 cm
14-Jan-16,5 cm,47 cm,142 cm
15-Jan-16,28 cm,75 cm,160 cm
16-Jan-16,38 cm,113 cm,178 cm
17-Jan-16,28 cm,141 cm,178 cm
19-Jan-16,33 cm,174 cm,196 cm
20-Jan-16,8 cm,182 cm,198 cm
21-Jan-16,18 cm,200 cm,203 cm
24-Jan-16,20 cm,220 cm,185 cm
25-Jan-16,41 cm,261 cm,185 cm
26-Jan-16,3 cm,264 cm,229 cm
30-Jan-16,15 cm,279 cm,211 cm
31-Jan-16,30 cm,309 cm,211 cm
1-Feb-16,5 cm,314 cm,211 cm
2-Feb-16,13 cm,327 cm,229 cm
3-Feb-16,5 cm,332 cm,226 cm
4-Feb-16,3 cm,335 cm,224 cm
5-Feb-16,33 cm,368 cm,249 cm
15-Feb-16,18 cm,386 cm,206 cm
16-Feb-16,3 cm,389 cm,216 cm
18-Feb-16,8 cm,397 cm,221 cm
19-Feb-16,10 cm,407 cm,231 cm
23-Feb-16,15 cm,422 cm,231 cm
7-Mar-16,25 cm,447 cm,208 cm
9-Mar-16,8 cm,455 cm,231 cm
10-Mar-16,10 cm,465 cm,236 cm
13-Mar-16,3 cm,468 cm,234 cm
14-Mar-16,8 cm,476 cm,236 cm
15-Mar-16,18 cm,494 cm,254 cm
16-Mar-16,18 cm,512 cm,269 cm
22-Mar-16,3 cm,515 cm,239 cm
23-Mar-16,41 cm,556 cm,272 cm
24-Mar-16,5 cm,561 cm,274 cm
26-Mar-16,8 cm,569 cm,269 cm
29-Mar-16,43 cm,612 cm,290 cm
30-Mar-16,8 cm,620 cm,295 cm
31-Mar-16,5 cm,625 cm,292 cm
1-Apr-16,3 cm,628 cm,290 cm
14-Apr-16,5 cm,633 cm,221 cm
15-Apr-16,18 cm,651 cm,241 cm
23-Apr-16,5 cm,656 cm,224 cm
24-Apr-16,28 cm,684 cm,224 cm
25-Apr-16,5 cm,689 cm,224 cm
26-Apr-16,8 cm,697 cm,251 cm
27-Apr-16,30 cm,727 cm,259 cm
28-Apr-16,15 cm,742 cm,269 cm
30-Apr-16,3 cm,745 cm,259 cm
9-May-16,8 cm,753 cm,257 cm
27-Nov-16,13 cm,766 cm,56 cm
28-Nov-16,33 cm,799 cm,56 cm
29-Nov-16,58 cm,857 cm,56 cm
2-Dec-16,3 cm,860 cm,99 cm
5-Dec-16,5 cm,865 cm,84 cm
6-Dec-16,3 cm,868 cm,84 cm
7-Dec-16,8 cm,876 cm,81 cm
8-Dec-16,3 cm,879 cm,84 cm
9-Dec-16,13 cm,892 cm,89 cm
10-Dec-16,5 cm,897 cm,94 cm
11-Dec-16,30 cm,927 cm,94 cm
12-Dec-16,3 cm,930 cm,94 cm
15-Dec-16,13 cm,943 cm,119 cm
16-Dec-16,25 cm,968 cm,137 cm
17-Dec-16,43 cm,1011 cm,173 cm
21-Dec-16,3 cm,1014 cm,147 cm
24-Dec-16,5 cm,1019 cm,142 cm
25-Dec-16,41 cm,1060 cm,142 cm
26-Dec-16,18 cm,1078 cm,175 cm
4-Jan-15,3 cm,3 cm,168 cm
11-Jan-15,8 cm,11 cm,152 cm
13-Jan-15,46 cm,57 cm,196 cm
14-Jan-15,3 cm,60 cm,188 cm
17-Jan-15,5 cm,65 cm,180 cm
18-Jan-15,3 cm,68 cm,180 cm
29-Jan-15,3 cm,71 cm,160 cm
31-Jan-15,3 cm,74 cm,160 cm
2-Feb-15,5 cm,79 cm,163 cm
3-Feb-15,8 cm,87 cm,168 cm
4-Feb-15,5 cm,92 cm,170 cm
5-Feb-15,5 cm,97 cm,178 cm
8-Feb-15,3 cm,100 cm,173 cm
10-Feb-15,10 cm,110 cm,178 cm
20-Feb-15,5 cm,115 cm,165 cm
21-Feb-15,23 cm,138 cm,185 cm
22-Feb-15,10 cm,148 cm,193 cm
26-Feb-15,8 cm,156 cm,178 cm
27-Feb-15,18 cm,174 cm,180 cm
1-Mar-15,10 cm,184 cm,180 cm
2-Mar-15,5 cm,189 cm,193 cm
3-Mar-15,28 cm,217 cm,216 cm
4-Mar-15,23 cm,240 cm,231 cm
13-Mar-15,5 cm,245 cm,198 cm
23-Mar-15,8 cm,253 cm,178 cm
24-Mar-15,15 cm,268 cm,190 cm
25-Mar-15,3 cm,271 cm,190 cm
3-Apr-15,5 cm,276 cm,175 cm
7-Apr-15,5 cm,281 cm,173 cm
8-Apr-15,20 cm,301 cm,173 cm
9-Apr-15,5 cm,306 cm,175 cm
15-Apr-15,48 cm,354 cm,206 cm
16-Apr-15,64 cm,418 cm,206 cm
17-Apr-15,3 cm,421 cm,206 cm
18-Apr-15,3 cm,424 cm,224 cm
25-Apr-15,18 cm,442 cm,196 cm
26-Apr-15,15 cm,457 cm,208 cm
7-May-15,5 cm,462 cm,0 cm
10-May-15,25 cm,487 cm,0 cm
11-Nov-15,33 cm,520 cm,56 cm
16-Nov-15,13 cm,533 cm,69 cm
17-Nov-15,23 cm,556 cm,76 cm
20-Nov-15,8 cm,564 cm,61 cm
26-Nov-15,15 cm,579 cm,61 cm
28-Nov-15,5 cm,584 cm,56 cm
29-Nov-15,5 cm,589 cm,56 cm
