Area,Settlement type,Internet penetration
Belgrade,Rural,48.8
Belgrade,Urban,71.8
Central Serbia,Rural,50
Central Serbia,Urban,65.9
Vojvodina,Rural,43.8
Vojvodina,Urban,71.6
