Year,Emission Type,Value
1/1/2010,"Coal, Including Coal Coke Net Imports",1986.16
1/1/2011,"Coal, Including Coal Coke Net Imports",1875.78
1/1/2012,"Coal, Including Coal Coke Net Imports",1657.268
1/1/2013,"Coal, Including Coal Coke Net Imports",1717.829
1/1/2014,"Coal, Including Coal Coke Net Imports",1713.541
1/1/2015,"Coal, Including Coal Coke Net Imports",1480.324
1/1/2016,"Coal, Including Coal Coke Net Imports",1354.161
1/1/2017,"Coal, Including Coal Coke Net Imports",1318.306
1/1/2010,"Natural Gas, Excluding Supplemental Gaseous Fuels",1291.546
1/1/2011,"Natural Gas, Excluding Supplemental Gaseous Fuels",1311.422
1/1/2012,"Natural Gas, Excluding Supplemental Gaseous Fuels",1371.561
1/1/2013,"Natural Gas, Excluding Supplemental Gaseous Fuels",1409.354
1/1/2014,"Natural Gas, Excluding Supplemental Gaseous Fuels",1439.526
1/1/2015,"Natural Gas, Excluding Supplemental Gaseous Fuels",1482.984
1/1/2016,"Natural Gas, Excluding Supplemental Gaseous Fuels",1496.367
1/1/2017,"Natural Gas, Excluding Supplemental Gaseous Fuels",1473.914
1/1/2010,Aviation Gasoline,1.871
1/1/2011,Aviation Gasoline,1.872
1/1/2012,Aviation Gasoline,1.738
1/1/2013,Aviation Gasoline,1.547
1/1/2014,Aviation Gasoline,1.501
1/1/2015,Aviation Gasoline,1.463
1/1/2016,Aviation Gasoline,1.416
1/1/2017,Aviation Gasoline,1.439
1/1/2010,"Distillate Fuel Oil, Excluding Biodiesel",585.225
1/1/2011,"Distillate Fuel Oil, Excluding Biodiesel",598.557
1/1/2012,"Distillate Fuel Oil, Excluding Biodiesel",574.212
1/1/2013,"Distillate Fuel Oil, Excluding Biodiesel",581.472
1/1/2014,"Distillate Fuel Oil, Excluding Biodiesel",613.573
1/1/2015,"Distillate Fuel Oil, Excluding Biodiesel",606.649
1/1/2016,"Distillate Fuel Oil, Excluding Biodiesel",589.186
1/1/2017,"Distillate Fuel Oil, Excluding Biodiesel",597.047
1/1/2010,Hydrocarbon Gas Liquids,86.106
1/1/2011,Hydrocarbon Gas Liquids,79.991
1/1/2012,Hydrocarbon Gas Liquids,84.236
1/1/2013,Hydrocarbon Gas Liquids,92.233
1/1/2014,Hydrocarbon Gas Liquids,86.924
1/1/2015,Hydrocarbon Gas Liquids,91.17
1/1/2016,Hydrocarbon Gas Liquids,88.043
1/1/2017,Hydrocarbon Gas Liquids,88.722
1/1/2010,Jet Fuel,210.011
1/1/2011,Jet Fuel,209.086
1/1/2012,Jet Fuel,205.656
1/1/2013,Jet Fuel,210.414
1/1/2014,Jet Fuel,215.626
1/1/2015,Jet Fuel,227.114
1/1/2016,Jet Fuel,237.442
1/1/2017,Jet Fuel,246.679
1/1/2010,Kerosene,2.982
1/1/2011,Kerosene,1.832
1/1/2012,Kerosene,0.792
1/1/2013,Kerosene,0.778
1/1/2014,Kerosene,1.346
1/1/2015,Kerosene,0.956
1/1/2016,Kerosene,1.301
1/1/2017,Kerosene,0.67
1/1/2010,Lubricants,10.785
1/1/2011,Lubricants,10.233
1/1/2012,Lubricants,9.415
1/1/2013,Lubricants,9.961
1/1/2014,Lubricants,10.391
1/1/2015,Lubricants,11.316
1/1/2016,Lubricants,10.742
1/1/2017,Lubricants,8.945
1/1/2010,"Motor Gasoline, Excluding Ethanol",1112.178
1/1/2011,"Motor Gasoline, Excluding Ethanol",1077.97
1/1/2012,"Motor Gasoline, Excluding Ethanol",1070.73
1/1/2013,"Motor Gasoline, Excluding Ethanol",1086.547
1/1/2014,"Motor Gasoline, Excluding Ethanol",1094.948
1/1/2015,"Motor Gasoline, Excluding Ethanol",1125.867
1/1/2016,"Motor Gasoline, Excluding Ethanol",1144.829
1/1/2017,"Motor Gasoline, Excluding Ethanol",1141.093
1/1/2010,Petroleum Coke,81.897
1/1/2011,Petroleum Coke,78.791
1/1/2012,Petroleum Coke,78.628
1/1/2013,Petroleum Coke,77.252
1/1/2014,Petroleum Coke,75.874
1/1/2015,Petroleum Coke,76.163
1/1/2016,Petroleum Coke,75.794
1/1/2017,Petroleum Coke,70.433
1/1/2010,Residual Fuel Oil,95.512
1/1/2011,Residual Fuel Oil,81.974
1/1/2012,Residual Fuel Oil,66.137
1/1/2013,Residual Fuel Oil,57.102
1/1/2014,Residual Fuel Oil,46.085
1/1/2015,Residual Fuel Oil,46.541
1/1/2016,Residual Fuel Oil,58.607
1/1/2017,Residual Fuel Oil,64.238
1/1/2010,Other Petroleum Products,115.34
1/1/2011,Other Petroleum Products,114.333
1/1/2012,Other Petroleum Products,110.446
1/1/2013,Other Petroleum Products,115.822
1/1/2014,Other Petroleum Products,108.447
1/1/2015,Other Petroleum Products,112.082
1/1/2016,Other Petroleum Products,119.858
1/1/2017,Other Petroleum Products,119.1
1/1/2010,"Petroleum, Excluding Biofuels",2301.908
1/1/2011,"Petroleum, Excluding Biofuels",2254.639
1/1/2012,"Petroleum, Excluding Biofuels",2201.99
1/1/2013,"Petroleum, Excluding Biofuels",2233.128
1/1/2014,"Petroleum, Excluding Biofuels",2254.715
1/1/2015,"Petroleum, Excluding Biofuels",2299.319
1/1/2016,"Petroleum, Excluding Biofuels",2327.22
1/1/2017,"Petroleum, Excluding Biofuels",2338.366
