Province-Serbia,Latitude,Longitude
Shumadija,44.0922,20.7652
Bor,44.3035,22.2489
Branichevo,44.451,21.5261
Belgrade,44.6283,20.3983
Jablanica,42.9062,21.8954
South Bachka,45.4015,19.7197
South Banat,44.9905,20.9704
Kolubara,44.2912,19.9193
Machva,44.555,19.4993
Moravica,43.7551,20.2845
Nishava,43.4011,21.8624
Pchinja,42.5209,22.0571
Pirot,43.1354,22.5501
Danube,44.4345,20.9589
Pomoravlje,43.9666,21.351
Rashka,43.3508,20.5333
Rasina,43.4933,21.15
North Bachka,45.9303,19.612
North Banat,45.9097,20.1859
Central Banat,45.457,20.4902
Srem,44.9783,19.7344
Toplica,43.1453,21.3669
Zajechar,43.7319,22.1345
West Bachka,45.7258,19.1919
Zlatibor,43.5921,19.7583
