Province,ID,Latitude,Longitude,Population
Shumadija,0,44.0922,20.7652,290900
Bor,1,44.3035,22.2489,123848
Branichevo,2,44.451,21.5261,180480
Belgrade,3,44.6283,20.3983,1639121
Jablanica,4,42.9062,21.8954,215463
South Bachka,5,45.4015,19.7197,607835
South Banat,6,44.9905,20.9704,291327
Kolubara,7,44.2912,19.9193,174228
Machva,8,44.555,19.4993,297778
Morava,9,43.7551,20.2845,212149
Nishava,10,43.4011,21.8624,373404
Pchinja,11,42.5209,22.0571,158717
Pirot,12,43.1354,22.5501,92277
Danube,13,44.4345,20.9589,198184
Pomoravlje,14,43.9666,21.351,212839
Rashka,15,43.3508,20.5333,300102
Rasina,16,43.4933,21.15,240463
North Bachka,17,45.9303,19.612,185552
North Banat,18,45.9097,20.1859,146690
Central Banat,19,45.457,20.4902,186851
Srem,20,44.9783,19.7344,311053
Toplica,21,43.1453,21.3669,90600
Zajechar,22,43.7319,22.1345,118295
West Bachka,23,45.7258,19.1919,187581
Zlatibor,24,43.5921,19.7583,284929
