,Brand A,Brand B,Brand C
Value for Money,39.7,31.8,25.1
High Quality,37.0,35.9,23.2
Good Network,40.2,35.9,21.1
Fast Internet,36.0,37.2,18.8
Clear offer,40.1,30.7,25.6
Affordable,37.3,26.7,31.5
Listens to Customers,36.6,31.6,28.6
Smartphone Offer,28.1,35.5,28.7
Innovative,27.2,37.5,28.3
Professional Staff,38.2,32.1,22.4
Values Loyal Customers,30.8,25.8,28.5
Efficient,36.9,35.7,22.5
Customer Service,33.4,36.3,25.6
Market Influencer,30.8,30.2,29.0
Reliable,36.3,34.3,23.8
Transparent,35.4,33.9,24.8
Trustworthy,40.5,35.0,21.8
Youthful,17.7,30.8,46.9
Fair,32.2,32.0,29.2
High-Tech,28.2,41.0,24.9
Friendly,36.9,34.3,22.0
