id,Age,Gender,Income,Education,FamilyStatus,CurrentCar,AgeOfCurrentCar,MunicipalityType,FuturePurchase
63415,44,Female,52001,University,Divorced,Purchased as used,2011,Urban,Used
174315,40,Male,11501,University,Divorced,Purchased as used,2011,Urban,Used
39338,35,Female,27001,University,Divorced,Purchased as used,2005,Urban,Used
310861,48,Female,26750,University,Divorced,Purchased as used,2004,Rural,Used
75147,42,Female,30000.5,University,Divorced,Purchased as used,2004,Urban,Used
67392,46,Female,69001,University,Divorced,Purchased as used,2004,Urban,Used
131476,46,Female,52001,University,Divorced,Purchased as a new,2004,Urban,Used
195761,45,Female,33001,University,Divorced,Purchased as used,2003,Urban,Used
307508,42,Male,45001,University,Divorced,Purchased as used,2003,Urban,Used
117238,37,Female,39001,University,Divorced,Purchased as used,2002,Urban,Used
118264,44,Female,45001,University,Divorced,Purchased as used,2002,Urban,Used
44169,44,Female,93001,University,Divorced,Purchased as used,2002,Urban,Used
183742,36,Male,33001,University,Divorced,Purchased as used,2001,Urban,Used
37079,47,Male,53500,University,Divorced,Purchased as used,2001,Urban,Used
136697,45,Female,80001,University,Divorced,Purchased as used,2000,Urban,Used
193306,26,Female,17250.25,University,Divorced,Purchased as used,1999.33333333333,Rural,Used
187045,34,Female,60001,University,Divorced,Purchased as used,1999,Urban,Used
131744,35,Male,27001,University,Divorced,Purchased as used,1999,Rural,Used
307112,45,Male,34500.5,University,Divorced,Purchased as used,1999,Urban,Used
117326,49,Female,52001,University,Divorced,Purchased as used,1997,Urban,Used
307047,36,Male,31000.3333333333,University,Divorced,Purchased as a new,1996,Urban,Used
117651,48,Female,52001,University,Divorced,Purchased as used,1991,Urban,Used
260878,43,Female,39001,University,Divorced,Purchased as used,1989,Urban,Used
183932,33,Female,40000.5,University,Divorced,Purchased as used,1989,Urban,Used
117755,38,Female,60001,University,Divorced,Purchased as used,1975,Urban,Used
306828,39,Female,93001,College,Divorced,Purchased as used,2006,Urban,Used
154107,43,Female,46500.5,College,Divorced,Purchased as used,2002,Urban,Used
193427,37,Male,22500.5,College,Divorced,Purchased as used,1990,Urban,Used
193681,37,Female,7001,College,Divorced,Purchased as used,1989,Rural,Used
37177,35,Female,26667,Unfinished university,Divorced,Purchased as used,2005,Urban,Used
306842,46,Female,20000.3333333333,Unfinished university,Divorced,Purchased as used,2000,Urban,Used
159116,30,Male,14501,Unfinished university,Divorced,Purchased as used,1998.66666666667,Urban,Used
131555,36,Female,13000.3333333333,Unfinished university,Divorced,Purchased as used,1989,Rural,Used
131903,37,Female,33001,High school,Divorced,Purchased as used,2007,Rural,Used
174363,44,Male,27001,High school,Divorced,Purchased as used,2006,Urban,Used
141301,38,Male,30000.5,High school,Divorced,Purchased as used,2006,Urban,Used
310806,38,Female,3500.5,High school,Divorced,Purchased as used,2005,Urban,Used
178192,44,Male,22001,High school,Divorced,Purchased as used,2005,Rural,Used
188212,30,Male,26000.5,High school,Divorced,Purchased as used,2005,Urban,Used
117258,43,Male,13000.25,High school,Divorced,Purchased as a new,2003,Urban,Used
310661,39,Female,22001,High school,Divorced,Purchased as used,2002,Rural,Used
267435,44,Female,69001,High school,Divorced,Purchased as used,2002,Urban,Used
150617,47,Male,53500,High school,Divorced,Purchased as used,2002,Urban,Used
193400,40,Male,18001,High school,Divorced,Purchased as used,2000,Urban,Used
306881,33,Female,11501,High school,Divorced,Purchased as used,1998,Urban,Used
193388,46,Male,33001,High school,Divorced,Purchased as used,1995,Urban,Used
252374,48,Male,45001,High school,Divorced,Purchased as used,1994,Urban,Used
184059,30,Female,23000.3333333333,High school,Divorced,Purchased as used,1991,Urban,Used
306773,37,Male,22001,High school,Divorced,Purchased as used,1990,Urban,Used
234929,36,Female,31000.3333333333,High school,Divorced,Purchased as used,1989,Urban,Used
193346,37,Male,3000.33333333333,High school,Divorced,Purchased as used,1989,Urban,Used
