X,Y,Shool ID
-71.00412058,42.38879868,1
-71.03048029,42.3785453,2
-71.03389058,42.37527868,3
-71.03801072,42.37808862,4
-71.03492143,42.38095746,5
-71.04032982,42.37828999,6
-71.03411995,42.36967602,7
-71.03430758,42.36927368,8
-71.03489031,42.36556301,9
-71.05749225,42.37662852,10
-71.06107059,42.38011868,11
-71.06723124,42.37908036,12
-71.06443059,42.37799868,13
-71.05336967,42.36610274,14
-71.06905025,42.34840829,15
-71.06492059,42.34797867,16
-71.0779706,42.35057867,17
-71.07352059,42.34436867,18
-71.07352059,42.34436867,19
-71.0777406,42.33875867,20
-71.07246107,42.34073755,21
-71.07133141,42.32621703,22
-71.05819134,42.32317619,23
-71.05054059,42.33131867,24
-71.04489058,42.33286867,25
-71.03841128,42.33487071,26
-71.03019874,42.33212077,27
-71.05954941,42.32038241,28
-71.07790902,42.33027521,29
-71.17434062,42.28226865,30
-71.05042966,42.33357372,31
-71.0817106,42.32702867,32
-71.08383998,42.34055977,33
-71.0902906,42.33175867,34
-71.0887926,42.33203867,35
-71.0909706,42.33039867,36
-71.0910406,42.32554867,37
-71.08630957,42.32094834,38
-71.07893913,42.31496685,39
-71.08784105,42.31574003,40
-71.0845006,42.31615866,41
-71.0928916,42.3163343,42
-71.0756266,42.31820265,43
-71.07619659,42.31129966,44
-71.07541082,42.30905402,45
-71.07385902,42.30561813,46
-71.06101177,42.30839621,47
-71.07072943,42.29992615,48
-71.06222064,42.29396673,49
-71.04919406,42.29420618,50
-71.05319154,42.28655025,51
-71.06956993,42.28126173,52
-71.07743057,42.27786075,53
-71.08091059,42.28141866,54
-71.08091059,42.28141866,55
-71.0904296,42.27676066,56
-71.07679145,42.28779215,57
-71.08037542,42.2924381,58
-71.07300863,42.28660893,59
-71.07560026,42.2967885,60
-71.09500233,42.28231466,61
-71.10408944,42.27581531,62
-71.1047806,42.26725865,63
-71.06172942,42.30112879,64
-71.11774061,42.28540866,65
-71.1077206,42.28675866,66
-71.11594061,42.29463866,67
-71.12345117,42.24295076,68
-71.13332061,42.25162865,69
-71.12732061,42.25676865,70
-71.12705061,42.27479866,71
-71.12493061,42.28363866,72
-71.12684061,42.28645866,73
-71.1034906,42.30892866,74
-71.09812021,42.31393788,75
-71.1096006,42.30600866,76
-71.1016106,42.31655866,77
-71.10583938,42.32178533,78
-71.10693577,42.32629276,79
-71.0982906,42.33301867,80
-71.1016906,42.33789867,81
-71.0915306,42.34145867,82
-71.09917802,42.33058828,83
-71.06215256,42.30069833,84
-71.0992606,42.34343867,85
-71.10676061,42.34794867,86
-71.11421891,42.31868548,87
-71.11295061,42.31850866,88
-71.13149061,42.30558866,89
-71.13533061,42.27776866,90
-71.14105061,42.28122866,91
-71.15236762,42.29266066,92
-71.15613062,42.26343865,93
-71.16257013,42.27188582,94
-71.17434062,42.28226865,95
-71.15837062,42.28299866,96
-71.16019062,42.34558867,97
-71.16150062,42.35107867,98
-71.16076062,42.35212867,99
-71.1553486,42.3476017,100
-71.11792785,42.26526119,101
-71.14549062,42.34908867,102
-71.14051062,42.34203867,103
-71.13770062,42.35205867,104
-71.13770062,42.35205867,105
-71.11791035,42.2624191,106
-71.13411062,42.36076867,107
-71.14961061,42.26075865,108
-71.05976976,42.31368761,109
-71.08684032,42.28212094,110
-71.08066202,42.29656011,111
-71.08162524,42.30681876,112
-71.04274058,42.31762867,113
-71.04350058,42.31802867,114
-71.05215122,42.33802589,115
-71.13288061,42.23389865,116
-71.00504508,42.39161618,117
-71.10691069,42.32562212,118
-71.0918906,42.27178865,119
-71.0992906,42.31412866,120
-71.11386744,42.30703515,121
-71.11448219,42.30720829,122
-71.07337366,42.32192747,123
-71.10656366,42.33393143,124
-71.11788607,42.2632279,125
-71.05487079,42.36591096,126
-71.09202957,42.31766019,127
-71.03794008,42.37156844,128
-71.06814954,42.34876971,129
-71.14596106,42.35044072,130
-71.08050441,42.32615285,131
