OBJECTID_1	OBJECTID	BLDG_ID	BLDG_NAME	ADDRESS	CITY	ZIPCODE	CSP_SCH_ID	SCH_ID	SCH_NAME	SCH_LABEL	SCH_TYPE	SHARED	COMPLEX	Label	TLT	PL	POINT_X	POINT_Y
1	1	1	Guild Bldg	195 Leyden Street	East Boston	2128	4061	4061	Guild Elementary	Guild	ES	 	 	52	3	Grace	790128.1527	2967094.378
2	2	3	"Kennedy, P Bldg"	343 Saratoga Street	East Boston	2128	4541	4541	Kennedy Patrick Elem	PJ Kennedy	ES	 	 	72	3	Grace	783027.7458	2963317.534
3	3	4	Otis Bldg	218 Marion Street	East Boston	2128	4322	4322	Otis Elementary	Otis	ES	 	 	106	3	Grace	782112.8239	2962122.057
4	4	6	Odonnell Bldg	33 Trenton Street	East Boston	2128	4543	4543	O'Donnell Elementary	O'Donnell	ES	 	 	103	3	Grace	780994	2963140
5	5	7	East Boston High Bldg	86 White Street	East Boston	2128	1070	1070	East Boston High	East Boston HS	HS	 	 	36	2	Joel	781823	2964190
6	6	8	Umana / Barnes Bldg	312 Border Street	East Boston	2128	4323	4323	Umana Academy	Umana Academy	K-8	 	 	124	3	Grace	780367	2963210
7	7	10	East Boston Eec Bldg	135 Gove Street	East Boston	2128	4450	4450	East Boston EEC	East Boston EEC	ELC	 	 	35	1	Marice	782062	2960080
8	8	11	Mckay Bldg	122 Cottage Street	East Boston	2128	4360	4360	McKay K-8	McKay K-8	K-8	 	 	89	3	Grace	782012.0967	2959933.1
9	9	12	Adams Bldg	165 Webster Street	East Boston	2128	4361	4361	Adams Elementary	Adams	ES	 	 	1	3	Grace	781862	2958580
10	10	13	Harvard-Kent	50 Bunker Hill Street	Charlestown	2129	4280	4280	Harvard/Kent Elem	Harvard/Kent	ES	 	 	55	3	Grace	775733	2962580
11	11	14	Charlestown High Bldg #1 -  Main	240 Medford Street	Charlestown	2129	1050	1050	Charlestown High	Charlestown HS	HS	 	 	21	4	Jonathan	774759.5895	2963846.892
12	12	15	Edwards Bldg	28 Walker Street	Charlestown	2129	2010	2010	Edwards Middle	Edwards MS	MS	 	 	38	3	Grace	773097	2963460
13	13	16	Warren-Prescott Bldg	50 School Street	Charlestown	2129	4283	4283	Warren/Prescott K-8	Warren/Prescott K-8	K-8	 	 	128	3	Grace	773855.7165	2963069.665
14	14	17	Eliot Bldg	16 Charter Street	Boston	2113	4381	4381	Eliot K-8	Eliot K-8	K-8	 	 	39	1	Marice	776867	2958750
15	15	21	Abraham Lincoln Building	152 Arlington Street	Boston	2116	1450	1450	Quincy Upper School	Quincy Upper (6-12)	K-12	 	 	112	4	Jonathan	772662	2952280
16	16	22	Boston HS Bldg	885 Washington Street	Boston	2111	4650	4650	Quincy Lower (K-5)	Quincy Lower (K-5)	K-12	 	 	111	3	Grace	773779.1248	2952129.105
17	17	24	Snowden Hs Bldg	150 Newbury Street	Boston	2116	1200	1200	Snowden International	Snowden HS	HS	 	 	116	4	Anthony	770246.741	2953058.87
18	18	26	Mckinley Mackey Bldg	90 Warren Avenue	Boston	2116	1291	1291	McKinley Elementary	McKinley Elem	Special	Shared	 	90	3	Grace	771460.9379	2950801.812
19	19	26	Mckinley Mackey Bldg	90 Warren Avenue	Boston	2116	1294	1294	McKinley So. End Acad	McKinley S. End Acad	Special	Shared	 	93	3	Grace	771460.9379	2950801.812
20	20	27	Hurley Bldg	70 Worcester Street	Boston	2118	4260	4260	Hurley K-8	Hurley K-8	K-8	 	 	66	1	Marice	770330.2366	2948751.749
21	21	28	Blackstone Bldg	380 Shawmut Avenue	Boston	2118	4640	4640	Blackstone Elementary	Blackstone	ES	 	 	7	3	Grace	771754	2949480
22	22	31	Mason Bldg	150 Norfolk Avenue	Roxbury	2119	4121	4121	Mason Elementary	Mason	ES	 	 	85	1	Marice	772086	2944190
23	23	33	Clap Bldg	35 Harvest Street	Dorchester	2125	4531	4531	Clap Elementary	Clap	ES	 	 	23	1	Christine	775645	2943100
24	24	35	Perkins Bldg	50 Burke Street	South Boston	2127	4022	4022	Perkins Elementary	Perkins	ES	 	 	108	1	Christine	777698.3368	2946078.062
25	25	36	South Boston Ed. Bldg	95 G Street	South Boston	2127	1162	1162	Excel High	Excel HS	HS	 	S. Boston EC	45	1	Christine	779223.0394	2946651.009
26	27	37	Tynan Bldg	650 E. Fourth Street	South Boston	2127	4590	4590	Tynan Elementary	Tynan	ES	 	 	123	1	Christine	780971	2947390
27	28	38	Perry Bldg	745 E. Seventh Street	South Boston	2127	4592	4592	Perry K-8	Perry K-8	K-8	 	 	109	1	Christine	783197	2946400
28	29	39	Russell Bldg	750 Columbia Road	Dorchester	2125	4530	4530	Russell Elementary	Russell	ES	 	 	115	1	Christine	775283	2942080
29	30	42	Orchard Gardens K-8	906 Albany Street	Roxbury	2119	4680	4680	Orchard Gardens K-8	Orchard Gardens K-8	K-8	 	 	105	1	Marice	770300	2945660
30	32	131	West Roxbury Ed. Bldg	1205 V.F.W. Parkway	West Roxbury	2132	1256	1256	West Roxbury Academy	W. Roxbury Acad	HS	Shared	 	129	2	Joel	744291.8935	2928051.281
31	34	34	Gavin Bldg	215 Dorchester Street	South Boston	2127	2450	2450	UP Academy Boston	UP Academy Boston	MS	 	 	125	1	Christine	777724	2946900
32	35	44	Wheatley Bldg	20 Kearsage Avenue	Roxbury	2119	1410	1410	Boston Day and Evening Academy	BDEA	Special	 	 	10	4	Freddie	769277.866	2944471.839
33	36	45	Carter Center Bldg	396 Northampton Street	Roxbury	2118	4261	4261	Carter Center	Carter Center	Special	 	 	19	1	Marice	768678	2949400
34	37	47	Madison Park Bldg #1	75 Malcolm X Blvd	Roxbury	2120	1210	1210	Madison Park High	Madison Park HS	HS	 	 	82	4	Ligia	766949.4579	2946184.274
35	38	48	Madison Park Bldg #3 - O'Bryant	55 Malcolm X Blvd	Roxbury	2120	1030	1030	O'Bryant Math & Sci.	O'Bryant School	6/7/2012	 	 	102	4	Anthony	767354.0118	2946288.26
36	39	49	Timilty Bldg	205 Roxbury Street	Roxbury	2119	2040	2040	Timilty Middle	Timilty MS	MS	 	 	120	2	Kelly	766767.9686	2945687.783
37	40	50	Hale Bldg	51 Cedar Street	Roxbury	2119	4113	4113	Hale Elementary	Hale	ES	 	 	53	1	Marice	766757.5151	2943920.267
38	41	51	Lewis Bldg	131 Walnut Avenue	Roxbury	2119	4242	4242	Higginson/Lewis (3-8)	Higginson/Lewis (3-8)	K-8	 	 	62	1	Marice	768045	2942250
39	42	53	Blue Hill Ave Eec Bldg	263 Blue Hill Ave	Roxbury	2119	4460	4460	Haynes EEC	Haynes EEC	ELC	 	 	56	1	Marice	770049	2940080
40	43	54	Trotter Bldg	135 Humboldt Avenue	Dorchester	2121	4580	4580	Trotter K-8	Trotter K-8	K-8	 	 	122	2	Kelly	767640	2940350
41	44	55	Boston Latin Academy Bldg	205 Townsend Street	Boston	2121	1020	1020	Boston Latin Academy	Boston Latin Acad	6/7/2012	 	 	13	4	Jonathan	768542.715	2940506.939
42	45	56	Ellis Bldg	302 Walnut Avenue	Roxbury	2119	4240	4240	Ellis Elementary	Ellis	ES	 	 	41	1	Marice	766273	2940560
43	46	57	Winthrop Bldg	35 Brookford Street	Dorchester	2125	4052	4052	Winthrop Elementary	Winthrop	ES	 	 	132	2	Joel	770939.048	2941263.617
44	47	58	King Bldg	77 Lawrence Avenue	Dorchester	2121	4055	4055	King K-8	King K-8	K-8	 	 	76	1	Marice	770797.3931	2938747.29
45	48	59	Frederick Middle	270 Columbia Road	Dorchester	2121	2360	2360	Frederick Pilot Middle	Frederick MS	MS	 	 	47	1	Christine	771014	2937930
46	49	62	Holland Bldg	85 Olney Street	Dorchester	2121	4250	4250	UP Academy Holland	UP Holland	ES	 	 	63	1	Christine	771440	2936680
47	50	63	Mather Bldg	1 Parish Street	Dorchester	2122	4350	4350	Mather Elementary	Mather	ES	 	 	86	2	Kelly	774910	2937710
48	52	67	Marshall Bldg	35 Westville Street	Dorchester	2124	4345	4345	UP Academy Charter School of Dorchester	UP Academy of Dorchester	K-8	 	 	126	1	Christine	772297	2934610
49	53	69	Ohearn Bldg	1669 Dorchester Avenue	Dorchester	2122	4391	4391	Henderson Lower (K0-1)	Henderson Lower (K0-1)	K-12	 	 	57	2	Kelly	774610	2932450
50	54	70	Murphy Bldg	1 Worrell Street	Dorchester	2122	4400	4400	Murphy K-8	Murphy K-8	K-8	 	 	99	2	Kelly	778133.9064	2932555.617
51	55	71	Kenny Bldg	19 Oakton Avenue	Dorchester	2122	4390	4390	Kenny Elementary	Kenny	ES	 	 	73	2	Kelly	777067	2929760
52	56	72	Wilson Bldg	18 Croftland Avenue	Dorchester	2124	1140	1140	Henderson Upper (2-12)	Henderson Upper (2-12)	K-12	 	 	58	2	Kelly	772645	2927810
53	57	73	Taylor Bldg	1060 Morton Street	Mattapan	2126	4151	4151	Taylor Elementary	Taylor	ES	 	 	118	2	Kelly	770524	2926560
54	58	74	Thompson Bldg	100 Maxwell Street	Dorchester	2124	1990	1990	Boston International HS	Boston Intl HS	Special	Shared	 	12	4	Anthony	769575.8605	2927851.905
55	59	74	Thompson Bldg	100 Maxwell Street	Dorchester	2124	1991	1991	Newcomers Academy	Newcomers Acad	Special	Shared	 	101	4	Anthony	769575.8605	2927851.905
56	60	77	Mildred Avenue Bldg	5 Mildred Avenue	Mattapan	2126	4671	4671	Mildred Avenue K-8	Mildred Ave K-8	K-8	 	 	96	2	Kelly	767008.1118	2926141.952
57	61	78	Dorchester Ed. Bldg #1 - Main	9 Peacevale Road	Dorchester	2124	1460	1460	TechBoston Academy	TechBoston	6/7/2012	 	 	119	4	Anthony	770679	2930180
58	62	80	Lee Bldg	155 Talbot Avenue	Dorchester	2124	4290	4290	Lee K-8	Lee K-8	K-8	 	 	78	2	Kelly	769700.9263	2931868.261
59	63	79	Fifield Bldg	25 Dunbar Ave.	Dorchester	2124	4291	4291	Lee Academy (K1-3)	Lee Academy (K1-3)	ES	 	 	77	2	Kelly	771704.7107	2929753.916
60	64	82	Holmes Bldg	40 School Street	Dorchester	2124	4084	4084	Holmes Elementary	Holmes	ES	 	 	64	2	Joel	770985	2933460
61	65	85	Lewenberg Bldg	20 Outlook Road	Mattapan	2126	4600	4600	Young Achievers K-8	Young Achievers K-8	K-8	 	 	133	2	Kelly	765761	2928160
62	66	86	Mattahunt Bldg	100 Hebron Street	Mattapan	2126	4691	4691	Mattahunt Elementary	Mattahunt (K1-2)	ES	 	 	87	2	Mary	763313	2925780
63	67	87	Chittick Bldg	154 Ruskindale Road	Mattapan	2126	4070	4070	Chittick Elementary	Chittick	ES	 	 	22	2	Joel	763140.3999	2922660.971
64	69	65	Cleveland Bldg	11 Charles Street	Dorchester	2122	1103	1103	Comm Acad Sci Health	CASH	HS	Shared	 	24	4	Anthony	774729.4907	2935060.643
65	70	91	Philbrick Bldg	40 Philbrick Street	Roslindale	2131	4561	4561	Philbrick Elementary	Philbrick	ES	 	 	110	2	Mary	759602.9139	2929259.103
66	71	92	Haley Bldg	570 American Legion Highway	Roslindale	2131	4210	4210	Haley K-8	Haley K-8	K-8	 	 	54	2	Joel	762311.9578	2929763.373
67	72	93	Parkman Bldg	25 Walk Hill Street	Jamaica Plain	2130	4661	4661	BTU K-8 Pilot	BTU Pilot School K-8	K-8	 	 	17	2	Kelly	760074.83	2932624.843
68	74	96	Roosevelt Bldg	95 Needham Road	Hyde Park	2136	4192	4192	Roosevelt Upper (2-8)	Roosevelt Upper (2-8)	K-8	 	 	114	2	Joel	758126	2913780
69	75	98	Channing Bldg	35 Sunnyside Street	Hyde Park	2136	4201	4201	Channing Elementary	Channing	ES	 	 	20	2	Mary	755440.0469	2916930.689
70	76	99	Grew Bldg	40 Gordon Avenue	Hyde Park	2136	4200	4200	Grew Elementary	Grew	ES	 	 	51	2	Mary	757056.2669	2918810.811
71	77	100	Conley Bldg	450 Poplar Street	Roslindale	2131	4080	4080	Conley Elementary	Conley	ES	 	 	28	2	Joel	757100.6305	2925381.51
72	78	101	Irving Bldg	105 Cummins Highway	Roslindale	2131	2140	2140	Irving Middle	Irving MS	MS	 	 	67	2	Mary	757660.2112	2928605.451
73	79	102	Sumner Bldg	15 Basile Street	Roslindale	2131	4560	4560	Sumner Elementary	Sumner	ES	 	 	117	2	Joel	757138.8747	2929630.835
74	80	105	Fuller Bldg	25 Glen Road	Jamaica Plain	2130	1340	1340	Community Academy	Community Acad	Special	 	 	25	4	Freddie	763418.9694	2937847.759
75	81	107	Hernandez Bldg	61 School Street	Roxbury	2119	4053	4053	Hernandez K-8	Hernandez K-8	K-8	 	 	60	3	Alex	764863	2939680
76	82	108	English Hs Bldg	144 Mcbride Street	Jamaica Plain	2130	1080	1080	English High	English HS	HS	 	 	43	4	Jonathan	761771.1526	2936776.039
77	83	109	Mendell Bldg	164 School Street	Roxbury	2119	4370	4370	Mendell Elementary	Mendell	ES	 	 	94	3	Alex	763914.5013	2940630.628
78	84	110	"Kennedy, J  Bldg"	7 Bolster Street	Jamaica Plain	2130	4270	4270	Kennedy John F Elemen	JF Kennedy	ES	 	 	71	3	Alex	762762	2942530
79	85	111	Hennigan Bldg	200 Heath Street	Jamaica Plain	2130	4231	4231	West Zone ELC	West Zone ELC	ELC	Shared	 	130	3	Alex	762457.9299	2944171.219
80	86	113	Tobin Bldg	40 Smith Street	Roxbury	2120	4570	4570	Tobin K-8	Tobin K-8	K-8	 	 	121	3	Alex	764784.166	2946633.152
81	87	115	Boston Latin School Bldg	78 Avenue Louis Pasteur	Boston	2115	1010	1010	Boston Latin School	Boston Latin Sch	6/7/2012	 	 	14	3	Alex	763856.5495	2948407.202
