OBJECTID_1	OBJECTID	BLDG_ID	BLDG_NAME	ADDRESS	CITY	ZIPCODE	CSP_SCH_ID	SCH_ID	SCH_NAME	SCH_LABEL	SCH_TYPE	SHARED	COMPLEX	Label	TLT	PL	POINT_X	POINT_Y
82	88	116	Health Careers Academy	110 The Fenway	Boston	2115	1440	1440	Kennedy Health Careers Academy (11-12)	Kennedy HCA (11-12)	HS	 	 	69	4	Jonathan	766597.245	2949717.523
83	89	118	Mission Hill Bldg	67 Alleghany Street	Roxbury	2120	1265	1265	Fenway High	Fenway HS	HS	 	 	46	4	Jonathan	764548.3827	2945746.345
84	90	118	Cleveland Bldg	11 Charles Street	Dorchester	2122	1420	1420	Boston Arts Academy	BAA	HS	Shared	 	9	4	Jonathan	774619.898	2934906.539
85	91	119	Mckinley Peterborough Bldg	97 Peterborough Street	Boston	2215	1293	1293	McKinley Prep High Sch	McKinley Prep HS	Special	 	 	92	3	Grace	764504.0514	2950429.16
86	92	120	Mckinley St Mary'S St Bldg	50 St. Mary Street	Boston	2215	1292	1292	McKinley Middle	McKinley MS	Special	 	 	91	3	Grace	762468.9136	2952063.254
87	93	121	"Curley, J.  Bldg"	40 Pershing Road	Jamaica Plain	2130	4272	4272	Curley K-8 (Lower)	Curley K-8 (Lower)	K-8	 	 	29	3	Alex	760501	2941390
88	94	122	"Curley, Mary  Bldg"	493 Centre Street	Jamaica Plain	2130	4272	4272	Curley K-8 (Upper)	Curley K-8 (Upper)	K-8	 	 	30	3	Alex	760844.3025	2941327.12
89	95	124	Manning Bldg	130 Louders Lane	Jamaica Plain	2130	4311	4311	Manning Elementary	Manning	ES	 	 	83	2	Joel	755850.5347	2936596.642
90	96	126	Bates Bldg	426 Beech Street	Roslindale	2131	4081	4081	Bates Elementary	Bates	ES	 	 	5	2	Mary	754855.1451	2926454.132
91	97	127	Mozart Bldg	236 Beech Street	Roslindale	2131	4082	4082	Mozart Elementary	Mozart	ES	 	 	98	2	Mary	753301.8784	2927708.442
92	98	128	Russett Road Bldg	140 Russett Road	West Roxbury	2132	4033	4033	Kilmer Upper (4-8)	Kilmer Upper (4-8)	K-8	 	 	75	2	Mary	750222.431	2931861.757
93	99	129	Beethoven Bldg	5125 Washington Street	West Roxbury	2132	4030	4030	Beethoven Elementary	Beethoven (K1-2)	ES	 	 	6	2	Mary	749247.2487	2921208.692
94	100	130	Kilmer Bldg	35 Baker Street	West Roxbury	2132	4031	4031	Kilmer Lower (K1-3)	Kilmer Lower (K1-3)	K-8	 	 	74	2	Mary	747492	2924280
95	101	131	West Roxbury Ed. Bldg	1205 V.F.W. Parkway	West Roxbury	2132	1253	1253	Urban Science Academy	Urban Science Academy	HS	Shared	West Roxbury EC	127	2	Joel	744291.8935	2928051.281
96	102	132	"Shaw, R.G.  Bldg"	20 Mt. Vernon Street	West Roxbury	2132	4331	4331	Lyndon K-8	Lyndon K-8	K-8	 	 	79	2	Joel	748612.3675	2928334.209
97	103	133	Edison Bldg	60 Glenmont Road	Brighton	2135	4178	4178	Edison K-8	Edison K-8	K-8	 	 	37	3	Alex	748029.006	2951141.157
98	104	135	"Lyon, Mary  Bldg"	50 Beechcroft Street	Brighton	2135	4171	4171	Lyon K-8	Lyon K-8	K-12	 	 	80	4	Jonathan	747666.93	2953140.418
99	105	136	Garfield Bldg	95 Beechcroft Street	Brighton	2135	1171	1171	"Lyon, Mary 9-12"	Lyon 9-12	K-12	 	 	81	4	Jonathan	747865.4372	2953523.854
100	106	137	Winship Bldg	54 Dighton Street	Brighton	2135	4173	4173	Winship Elementary	Winship	ES	 	 	131	3	Alex	749335	2951880
101	107	139	E. Greenwood Bldg	612 Metropolitan Avenue	Hyde Park	2136	1230	1230	Another Course to College	ACC	HS	 	 	3	4	Anthony	759585.471	2921916.774
102	108	140	Brighton High School Bldg	25 Warren Street	Brighton	2135	1040	1040	Brighton High	Brighton HS	HS	 	 	16	4	Jonathan	751997.5985	2952432.802
103	109	141	Baldwin Bldg	121 Corey Road	Brighton	2135	4621	4621	Baldwin ELPA	Baldwin ELPA	ELC	 	 	4	3	Alex	753354.6092	2949869.276
104	110	142	Jackson Mann Bldg	40 Armington Street	Allston	2134	4610	4610	Horace Mann	Horace Mann K-12	Special	Shared	 	65	3	Alex	754098.7767	2953523.978
105	111	142	Jackson Mann Bldg	40 Armington Street	Allston	2134	4620	4620	Jackson/Mann K-8	Jackson/Mann K-8	K-8	Shared	 	68	3	Alex	754098.7767	2953523.978
106	112	89	Hyde Park EC	655 Metropolitan Ave	Hyde Park	2136	1285	1285	New Mission High	New Mission HS	6/7/2012	Shared	 	100	4	Anthony	759643.6967	2921172.194
107	113	144	Gardner Bldg	30 Athol Street	Allston	2134	4160	4160	Gardner K-8	Gardner K-8	K-8	 	 	48	3	Alex	755055.5559	2956702.225
108	114	145	Ohrenberger Bldg	175 West Boundary Road	West Roxbury	2132	4410	4410	Ohrenberger 3-8	Ohrenberger 3-8	K-8	 	 	104	2	Mary	751016.1196	2920239.245
109	115	146	Everett Bldg	71 Pleasant Street	Dorchester	2125	4140	4140	Everett Elementary	Everett	ES	 	 	44	1	Christine	775236	2939640
110	116	148	"Shaw, P.A. Bldg"	429 Norfolk Street	Dorchester	2124	4670	4670	P.A. Shaw (K1-3)	P.A. Shaw (K1-3)	ES	 	 	107	2	Kelly	767970	2928100
111	117	149	"Greenwood, S Bldg"	189 Glenway Street	Dorchester	2121	4130	4130	Greenwood Sarah K-8	S. Greenwood K-8	K-8	 	 	50	2	Joel	769616	2933370
112	118	150	Burke High School Bldg	60 Washington Street	Dorchester	2121	1120	1120	Burke High	Burke HS	HS	 	 	18	4	Anthony	769337.0727	2937107.129
113	119	152	Dever Bldg	325 Mt. Vernon Street	Dorchester	2125	4100	4100	Dever Elementary	Dever	ES	 	 	32	1	Christine	779834.1415	2941100.413
114	120	153	Mccormack Bldg	315 Mt. Vernon Street	Dorchester	2125	2190	2190	McCormack Middle	McCormack MS	MS	 	 	88	1	Christine	779627.8188	2941245.078
115	121	156	Condon Bldg	200 D Street	South Boston	2127	4630	4630	Condon K-8	Condon K-8	K-8	 	 	27	1	Christine	777250	2948520
116	122	998	New Roosevelt Bldg	30 Millstone Road	Hyde Park	2136	4193	4193	Roosevelt K-8 (K1-1)	Roosevelt Lower (K1-1)	K-8	 	 	113	2	Joel	755586.9786	2910470.173
117	123	2	"Bradley Bldg
"	110 Beachview Road	East Boston	2128	4062	4062	Bradley Elementary	Bradley	ES	 	 	15	3	Grace	789872.4446	2968119.682
118	124	111	Hennigan Bldg	200 Heath Street	Jamaica Plain	2130	4230	4230	Hennigan K-8	Hennigan K-8	K-8	Shared	 	59	3	Alex	762465.8386	2943926.859
119	125	76	Mattapan Eec Bldg	108 Babson Street	Mattapan	2126	4440	4440	Ellison/ Parks ELC	Ellison/ Parks ELC	ELC	 	 	42	2	Kelly	766621.3962	2924328.192
120	126	106	Greater Egleston High	80 School Street	Roxbury	2119	1430	1430	Greater Egleston High	Greater Egleston HS	HS	 	 	49	4	Freddie	764546.1198	2939748.034
121	128	123	Agassiz Building	20 Child St	Jamaica Plain	2130	4285	4285	Mission Hill K-8	Mission Hill K-8	K-8	Shared	 	97	2	Mary	760615.2741	2937144.856
122	129	123	Agassiz Building	20 Child St	Jamaica Plain	2130	1053	1053	Margarita Muniz Academy	Muniz Academy	HS	Shared	 	84	4	Jonathan	760448.7026	2937207.199
123	130	30	Emerson Building	6 Shirley St	Roxbury	2119	4123	4123	Dudley Street Neighborhood Charter School	Dudley St NCS	ES	 	 	34	1	Marice	771541.563	2942624.044
124	131	114	Farragut Building	10 Fenwood Road	Jamaica Plain	2115	1441	1441	Kennedy Health Careers Academy (9-10)	Kennedy HCA (9-10)	HS	 	 	70	4	Jonathan	762545.713	2946955.351
125	132	89	Hyde Park EC	655 Metropolitan Ave	Hyde Park	2136	1195	1195	Community Leadership Academy	BCLA	HS	Shared	 	26	4	Anthony	759599.7646	2921175.945
126	1335	1000	Eliot Bldg	173 Salem Street	Boston	2113	4381	4381	Eliot K-8	Eliot K-8	K-8	 	 	40	1	Marice	776462.973	2958675.531
127	1736	52	Higginson Bldg	160 Harrishof Street	Roxbury	2119	4241	4241	Higginson Elementary (K1-2)	Higginson (K1-2)	ES	 	 	61	1	Marice	766503.8294	2941044.29
128	2136	0	Alighieri Bldg	37 Gove St.	East Boston	2128	4321	4321	Alighieri Montessori	Alighieri	ES	 	 	2	1	Marice	781025.9568	2960764.018
129	2938	0	Church Street Bldg	20 Church Street	Boston	2116	1215	1215	Boston Adult Tech Acad	BATA	Special	 	 	8	4	Freddie	772904.8128	2952412.938
130	2946	139	Taft Bldg	20 Warren Street	Brighton	2135	1470	1470	Boston Green Academy	Boston Green Academy	6/7/2012	 	 	11	4	Jonathan	751868.3851	2952924.991
131	3346	150	Dearborn Bldg	35 Greenville Street	Roxbury	2119	1260	1260	Dearborn Academy	Dearborn Academy	6/7/2012	 	 	31	4	Anthony	769605.963	2944154.655
