Date	Open	High	Low	Close	Volume	Adj.Close
11/3/2008	73.45	81.03	67.54	80.15	54003200	70.24
10/1/2008	77.19	81.75	56.51	74.12	62482300	64.58
9/2/2008	78.04	82	71.51	77.66	38705200	67.67
8/1/2008	80.55	81.5	76.14	80.01	26908400	69.71
7/1/2008	87.87	89.63	79.1	80.43	33014400	69.72
6/2/2008	88.09	90.5	84.77	88.13	28218100	76.4
5/1/2008	90.1	96.12	87.6	88.76	28713400	76.95
4/1/2008	84.8	94.93	84.26	93.07	23311500	80.32
3/3/2008	86.83	88.5	81.97	84.58	32253000	73
2/1/2008	87.7	90.17	80.36	87.01	25847200	75.09
1/2/2008	94.15	94.74	77.55	85.7	30841000	73.64
12/3/2007	88.97	95.1	87.71	93.69	20010700	80.51
11/1/2007	89.83	90.95	83.37	89.16	27396100	76.62
10/1/2007	92.45	95.27	89.67	91.99	23720000	78.74
9/4/2007	85.31	93.66	83.88	92.56	24540500	79.23
8/1/2007	84.99	87.9	78.76	85.73	30843200	73.38
7/2/2007	84.5	93.62	84.12	85.13	28263400	72.58
6/1/2007	83.56	86.58	80.85	83.88	25316000	71.52
5/1/2007	79.5	84.32	79.05	83.17	21117100	70.91
4/2/2007	75.35	80.88	75.28	79.38	23657200	67.39
3/1/2007	70.9	76.35	69.02	75.45	28874700	64.05
2/1/2007	74.58	76.1	71.18	71.68	24060100	60.85
1/3/2007	76.26	76.27	70.64	74.1	26449100	62.64
12/1/2006	76.78	79	74.82	76.63	19954400	64.78
11/1/2006	71.58	77.37	70.27	76.81	20701700	64.93
10/2/2006	67.29	72.33	64.84	71.42	21755300	60.11
9/1/2006	67.85	68.65	63.87	67.1	24726500	56.48
8/1/2006	67.24	71.22	67.01	67.67	22894000	56.96
7/3/2006	61.8	67.94	61.63	67.74	22007100	56.75
6/1/2006	60.4	62.65	56.64	61.35	24370100	51.4
5/1/2006	63.4	64.77	59.15	60.91	20876700	51.03
4/3/2006	61.36	65	60.43	63.08	19051100	52.58
3/1/2006	59.59	61.92	58.44	60.86	19242900	50.73
2/1/2006	62.77	63.08	58.6	59.37	20284700	49.49
1/3/2006	56.42	63.96	56.42	62.75	21662600	52.03
