Date	Open	High	Low	Close	Volume	Adj.Close
12/2/2013	93.27	101.74	92.92	101.2	13228500	100.49
11/1/2013	89.74	96	88.27	93.48	12856000	92.82
10/1/2013	85.99	90.96	84.79	89.62	13341600	88.39
9/3/2013	87.7	89.87	85.61	86.04	12800900	84.86
8/1/2013	92.69	93.1	86.39	87.16	12914100	85.96
7/1/2013	90.39	95.49	89.96	93.75	11462900	91.83
6/3/2013	90.53	92.27	88.02	90.35	15737500	88.5
5/1/2013	88.52	93.5	87.48	90.47	13364200	88.61
4/1/2013	90.13	90.99	85.02	88.99	14132700	86.57
3/1/2013	89.07	90.98	87.9	90.11	14126500	87.66
2/1/2013	90.44	90.5	87.61	89.55	13249100	87.11
1/2/2013	87.79	91.93	87.24	89.97	13213700	86.96
12/3/2012	88.55	90.37	84.7	86.55	15112600	83.66
11/1/2012	90.25	92.05	85.06	88.14	14342700	85.19
10/1/2012	91.79	93.67	89.68	91.17	12188600	87.57
9/4/2012	87.33	92.57	86.52	91.45	14037000	87.84
8/1/2012	87.02	88.91	85.5	87.3	11399500	83.86
7/2/2012	85.44	87.85	82.83	86.85	15548900	82.89
6/1/2012	77.87	85.7	77.13	85.57	25082200	81.67
5/1/2012	86.46	87.52	78.41	78.63	17847200	75.04
4/2/2012	86.6	87.67	81.88	86.34	15598400	81.84
3/1/2012	86.47	87.25	84.05	86.73	15994500	82.21
2/1/2012	84.23	87.83	83.19	86.5	15949600	81.99
1/3/2012	85.97	87.94	83.46	83.74	18038500	78.94
12/1/2011	80.2	85.63	78.66	84.76	18567500	79.9
11/1/2011	75.82	80.53	73.9	80.44	22775500	75.83
10/3/2011	72.05	82.2	69.21	78.09	25943600	73.18
9/1/2011	74.15	74.98	67.93	72.63	27687600	68.06
8/1/2011	80.82	81.18	67.03	74.02	34928400	69.36
7/1/2011	81.19	85.41	79.76	79.79	20103800	74.28
6/1/2011	83.55	83.65	76.72	81.38	21103900	75.76
5/2/2011	88.1	88.13	79.42	83.47	20355400	77.71
4/1/2011	84.72	88	82.38	87.98	16353700	81.44
3/1/2011	86.41	86.5	78.8	84.13	19767400	77.88
2/1/2011	81.14	88.23	81.04	85.53	24636800	79.17
1/3/2011	73.72	80.82	73.64	80.68	24194700	74.29
12/1/2010	70.38	73.69	70.38	73.12	19295900	67.33
11/1/2010	66.72	71.9	66.63	69.56	24468700	64.05
10/1/2010	62.32	66.81	61.8	66.49	21413900	60.84
9/1/2010	60.04	62.44	59.72	61.79	21372500	56.54
8/2/2010	60.64	62.99	58.05	59.11	22846100	54.09
7/1/2010	56.98	61.88	55.94	59.68	30611600	54.22
6/1/2010	60.38	64.5	56.92	57.07	38748500	51.85
5/3/2010	68.11	68.22	58.46	60.46	40034400	54.93
4/1/2010	67.27	70	66.85	67.77	27383200	61.16
3/1/2010	65.36	67.89	65.08	66.98	26307600	60.45
2/1/2010	65.77	67.23	63.56	65	29209100	58.66
1/4/2010	68.72	70.6	64.02	64.43	33544900	57.77
12/1/2009	76	76.3	67.64	68.19	30354400	61.14
11/2/2009	72.05	76.54	71.04	75.07	18893700	67.31
10/1/2009	68.39	75	66.11	71.67	24248100	63.89
9/1/2009	68.93	71.08	67.83	68.61	21252200	61.16
8/3/2009	70.96	71.89	66.09	69.15	22000100	61.64
7/1/2009	70.67	72.79	64.46	70.39	26744900	62.37
6/1/2009	70.46	74.83	68.08	69.91	28378500	61.94
5/1/2009	67.13	71.39	65.6	69.35	28182500	61.44
4/1/2009	67.04	71.15	64.5	66.67	31807000	58.72
3/2/2009	67	71.49	61.86	68.1	44298300	59.98
2/2/2009	76.06	80.5	67.9	67.9	44023900	59.8
1/2/2009	80.06	82.73	74.01	76.48	44802100	67.02
12/1/2008	77.89	83.64	72.68	79.83	46656300	69.96
