State,Gender,Year,Name,Frequency
CA,female,2012,Sophia,3643
CA,female,2011,Sophia,3566
CA,female,2013,Sophia,3465
CA,female,2010,Isabella,3366
CA,female,2010,Sophia,3360
CA,male,2010,Jacob,3351
CA,female,2014,Sophia,3179
CA,male,2011,Jacob,3171
CA,male,2010,Daniel,3133
CA,female,2012,Isabella,3109
CA,female,2011,Isabella,3060
CA,male,2012,Jacob,2978
CA,female,2015,Sophia,2954
CA,male,2011,Daniel,2907
CA,male,2013,Jacob,2887
CA,male,2012,Jayden,2868
CA,female,2015,Mia,2861
CA,male,2010,Anthony,2860
CA,female,2016,Mia,2794
CA,female,2013,Isabella,2793
CA,male,2014,Noah,2776
CA,male,2015,Noah,2767
CA,male,2011,Jayden,2751
CA,female,2016,Sophia,2751
CA,female,2017,Emma,2726
CA,female,2014,Isabella,2725
CA,female,2015,Emma,2720
CA,male,2014,Jacob,2714
CA,male,2011,Anthony,2692
CA,male,2016,Noah,2688
CA,male,2012,Daniel,2684
CA,female,2014,Emma,2684
CA,male,2012,Ethan,2673
CA,male,2013,Ethan,2664
CA,male,2012,Matthew,2650
CA,female,2014,Mia,2636
CA,female,2016,Emma,2602
CA,male,2010,Alexander,2601
CA,male,2013,Daniel,2601
CA,female,2013,Mia,2600
CA,female,2017,Mia,2588
CA,male,2013,Jayden,2581
CA,male,2014,Ethan,2565
CA,male,2014,Daniel,2562
CA,male,2013,Matthew,2560
CA,male,2015,Jacob,2556
CA,male,2013,Noah,2554
CA,female,2016,Olivia,2543
CA,male,2010,Angel,2535
CA,female,2015,Olivia,2527
CA,male,2012,Noah,2515
CA,male,2017,Noah,2511
CA,male,2014,Alexander,2495
CA,female,2013,Emma,2489
CA,male,2014,Matthew,2483
CA,male,2015,Ethan,2477
CA,female,2017,Olivia,2474
CA,male,2015,Daniel,2472
CA,male,2010,Ethan,2464
CA,male,2011,Matthew,2463
CA,male,2011,Alexander,2460
CA,female,2012,Emma,2450
CA,male,2010,Jayden,2443
CA,female,2012,Emily,2438
CA,male,2015,Matthew,2437
CA,female,2017,Sophia,2430
CA,male,2012,Alexander,2427
CA,male,2012,Anthony,2425
CA,male,2010,David,2422
CA,female,2014,Olivia,2421
CA,male,2016,Matthew,2413
CA,female,2015,Isabella,2401
CA,female,2011,Emily,2400
CA,female,2010,Emily,2391
CA,male,2011,Ethan,2390
TX,female,2013,Sophia,2389
CA,male,2010,Andrew,2381
CA,male,2013,Alexander,2381
CA,male,2014,Jayden,2378
CA,female,2016,Isabella,2355
CA,female,2017,Isabella,2337
CA,male,2016,Ethan,2334
TX,female,2012,Sophia,2334
CA,female,2012,Mia,2329
CA,male,2015,Alexander,2318
CA,female,2011,Mia,2308
TX,female,2017,Emma,2302
CA,male,2011,David,2300
TX,female,2010,Isabella,2296
CA,female,2013,Emily,2293
CA,male,2016,Daniel,2293
CA,male,2011,Andrew,2286
CA,male,2010,Nathan,2274
CA,female,2014,Emily,2273
TX,male,2010,Jacob,2273
CA,male,2016,Sebastian,2270
CA,male,2017,Sebastian,2264
CA,male,2016,Jacob,2262
CA,male,2011,Nathan,2248
CA,male,2013,Anthony,2238
CA,male,2010,Matthew,2237
CA,male,2012,Nathan,2236
CA,male,2011,Noah,2224
CA,male,2016,Alexander,2216
TX,female,2015,Emma,2203
TX,female,2011,Sophia,2192
TX,female,2014,Emma,2189
CA,male,2017,Liam,2180
TX,female,2015,Sophia,2176
CA,female,2013,Olivia,2161
TX,male,2015,Noah,2156
TX,female,2014,Sophia,2155
