State,Gender,Year,Name,Frequency
CA,male,2012,David,2152
CA,male,2011,Angel,2151
CA,male,2012,Andrew,2150
CA,male,2010,Joshua,2141
CA,male,2017,Ethan,2141
TX,female,2016,Emma,2141
CA,female,2015,Emily,2140
CA,male,2015,Jayden,2132
CA,male,2010,Noah,2124
CA,male,2017,Matthew,2120
CA,female,2011,Emma,2118
CA,male,2011,Michael,2106
CA,female,2014,Sofia,2106
CA,male,2010,Michael,2099
TX,female,2012,Isabella,2095
TX,male,2014,Noah,2089
CA,male,2013,Nathan,2084
CA,male,2014,Anthony,2084
CA,male,2017,Daniel,2077
CA,male,2015,Sebastian,2074
TX,female,2011,Isabella,2069
TX,female,2013,Emma,2054
CA,male,2013,David,2046
TX,male,2011,Jacob,2046
CA,male,2016,Liam,2044
CA,male,2017,Jacob,2044
CA,male,2016,Julian,2042
TX,female,2015,Mia,2041
CA,male,2014,Sebastian,2035
CA,male,2010,Christopher,2031
CA,male,2015,Liam,2026
CA,female,2015,Sofia,2024
TX,male,2016,Noah,2021
CA,male,2014,David,2020
CA,female,2010,Mia,2016
TX,female,2016,Mia,2009
CA,male,2012,Michael,2008
CA,male,2017,Mateo,2003
CA,male,2012,Aiden,2002
CA,male,2014,Michael,1999
CA,male,2017,Alexander,1991
CA,male,2010,Jonathan,1990
CA,female,2013,Sofia,1980
CA,male,2013,Michael,1979
TX,male,2013,Jacob,1978
CA,male,2010,Adrian,1975
TX,female,2014,Isabella,1971
TX,female,2012,Emma,1967
TX,female,2016,Sophia,1960
TX,female,2013,Isabella,1954
TX,male,2012,Jacob,1953
CA,female,2016,Emily,1952
TX,female,2010,Sophia,1950
CA,male,2015,David,1945
TX,male,2017,Noah,1942
CA,male,2010,Aiden,1941
CA,male,2012,Angel,1939
CA,male,2017,Julian,1938
TX,female,2016,Olivia,1938
CA,male,2011,Julian,1935
CA,male,2010,Jose,1931
TX,male,2010,Jose,1926
CA,male,2013,Andrew,1925
CA,male,2016,Benjamin,1919
CA,male,2014,Andrew,1917
CA,male,2011,Aiden,1912
CA,male,2014,Julian,1912
CA,male,2011,Joshua,1911
CA,female,2012,Olivia,1911
CA,male,2010,Julian,1908
CA,male,2015,Julian,1906
CA,female,2016,Sofia,1904
CA,male,2015,Aiden,1901
TX,male,2013,Jayden,1899
TX,male,2011,Jayden,1882
TX,female,2017,Mia,1882
CA,male,2014,Aiden,1881
TX,male,2012,Jayden,1879
CA,male,2014,Benjamin,1878
CA,male,2014,Nathan,1876
TX,female,2014,Mia,1876
CA,male,2011,Isaac,1873
CA,male,2011,Jonathan,1872
CA,male,2013,Julian,1869
TX,male,2013,Noah,1868
CA,male,2012,Isaac,1867
CA,male,2014,Liam,1867
CA,male,2015,Michael,1867
CA,male,2015,Nathan,1861
TX,female,2015,Isabella,1861
CA,male,2010,Joseph,1856
TX,male,2014,Jacob,1856
CA,male,2016,Mateo,1855
CA,male,2012,Julian,1853
CA,male,2016,Jayden,1853
CA,male,2013,Benjamin,1852
CA,male,2011,Mason,1840
CA,male,2017,Benjamin,1840
FL,female,2010,Isabella,1837
TX,female,2013,Mia,1837
CA,male,2012,Mason,1836
CA,male,2014,Mason,1833
TX,male,2017,Liam,1830
TX,female,2017,Isabella,1828
CA,male,2015,Benjamin,1824
TX,male,2010,Jayden,1818
CA,male,2011,Adrian,1817
TX,female,2015,Olivia,1815
TX,female,2017,Sophia,1814
CA,female,2017,Emily,1800
TX,female,2016,Isabella,1799
CA,male,2012,Adrian,1798
CA,male,2014,Isaac,1798
CA,female,2011,Olivia,1796
TX,male,2016,Liam,1790
CA,female,2017,Camila,1785
CA,female,2010,Emma,1783
CA,male,2011,Christopher,1781
CA,male,2013,Isaac,1777
CA,male,2010,Isaac,1773
CA,male,2017,Logan,1772
CA,male,2015,Anthony,1770
CA,male,2013,Aiden,1766
CA,male,2016,Michael,1765
TX,female,2017,Olivia,1764
CA,male,2011,Joseph,1760
CA,female,2015,Abigail,1760
CA,male,2016,Aiden,1757
TX,male,2010,Angel,1750
TX,male,2012,Ethan,1750
CA,male,2013,Angel,1748
CA,male,2013,Mason,1746
TX,male,2015,Liam,1742
CA,male,2012,Jonathan,1737
TX,male,2011,Daniel,1735
CA,male,2012,Christopher,1730
CA,male,2012,Joshua,1729
TX,female,2014,Olivia,1729
TX,female,2011,Emma,1724
TX,male,2013,Ethan,1717
CA,male,2015,Isaac,1712
TX,male,2013,Daniel,1712
CA,male,2016,David,1711
TX,female,2015,Sofia,1709
TX,male,2011,Jose,1706
CA,female,2014,Victoria,1705
CA,male,2013,Liam,1699
CA,male,2016,Nathan,1696
CA,male,2015,Mason,1695
TX,male,2010,Daniel,1694
CA,male,2017,Jayden,1690
TX,male,2010,David,1690
TX,male,2015,Jacob,1689
CA,female,2012,Sofia,1688
TX,male,2012,Noah,1688
TX,male,2014,Daniel,1684
TX,male,2010,Christopher,1682
CA,male,2015,Dylan,1681
CA,male,2013,Adrian,1679
CA,male,2012,Benjamin,1676
CA,female,2010,Samantha,1675
CA,male,2011,Jose,1675
CA,female,2017,Sofia,1673
TX,male,2015,Ethan,1673
TX,male,2016,Sebastian,1670
TX,male,2010,Ethan,1667
CA,male,2013,Sebastian,1663
TX,male,2015,Daniel,1655
CA,male,2016,Anthony,1652
CA,male,2014,Dylan,1651
CA,female,2016,Camila,1650
CA,male,2014,Aaron,1649
CA,female,2012,Abigail,1647
TX,male,2014,Liam,1644
CA,male,2012,Joseph,1643
CA,male,2010,Gabriel,1640
CA,male,2013,Dylan,1640
TX,male,2012,Daniel,1640
CA,female,2010,Olivia,1637
CA,male,2014,Angel,1637
CA,male,2016,Lucas,1637
CA,male,2016,James,1628
TX,male,2014,Jayden,1628
CA,male,2017,Lucas,1625
CA,male,2013,Joshua,1623
CA,male,2017,Aiden,1623
CA,female,2010,Abigail,1621
TX,male,2012,Jose,1619
TX,female,2013,Olivia,1615
CA,male,2012,Liam,1614
TX,male,2016,Daniel,1614
CA,female,2016,Ava,1612
TX,male,2011,David,1611
TX,male,2016,Matthew,1608
CA,male,2015,Andrew,1607
TX,male,2014,Ethan,1606
TX,female,2012,Mia,1603
TX,male,2010,Anthony,1600
CA,male,2010,Christian,1598
CA,female,2016,Abigail,1595
CA,male,2011,Benjamin,1593
CA,male,2014,James,1591
TX,male,2011,Ethan,1587
FL,female,2012,Isabella,1586
TX,male,2017,Sebastian,1585
CA,male,2014,Adrian,1579
CA,male,2012,Jose,1577
CA,female,2011,Sofia,1575
CA,female,2015,Victoria,1575
CA,male,2016,Elijah,1574
TX,male,2016,Jacob,1574
CA,male,2012,Dylan,1570
CA,male,2016,Isaac,1570
FL,female,2011,Isabella,1569
TX,male,2015,Matthew,1563
CA,male,2010,Brandon,1562
TX,female,2016,Sofia,1562
CA,female,2011,Abigail,1560
CA,female,2016,Victoria,1560
TX,male,2013,Jose,1559
CA,male,2012,Aaron,1558
CA,male,2016,Aaron,1557
TX,male,2014,David,1556
CA,male,2014,Logan,1551
CA,male,2017,Oliver,1551
CA,male,2017,David,1550
CA,male,2010,William,1549
CA,male,2014,Elijah,1549
TX,male,2010,Joshua,1549
CA,female,2011,Samantha,1547
CA,male,2016,Oliver,1547
TX,male,2014,Sebastian,1547
TX,male,2014,Jose,1546
CA,female,2015,Ava,1545
CA,male,2015,James,1545
CA,male,2011,Gabriel,1541
CA,male,2013,Joseph,1539
TX,male,2015,Sebastian,1539
CA,male,2010,Diego,1537
CA,female,2017,Abigail,1536
CA,female,2014,Abigail,1535
TX,male,2012,David,1534
TX,female,2014,Sofia,1534
CA,male,2015,Joseph,1532
CA,male,2016,Dylan,1532
TX,female,2010,Emma,1528
TX,male,2012,Aiden,1527
CA,male,2011,Aaron,1526
CA,male,2016,Mason,1526
CA,male,2017,Aaron,1526
CA,male,2013,Jonathan,1525
TX,male,2014,Matthew,1525
TX,female,2016,Ava,1525
CA,male,2014,William,1524
CA,male,2012,Elijah,1523
CA,male,2013,Aaron,1523
NY,female,2010,Isabella,1523
TX,female,2010,Emily,1523
TX,male,2011,Noah,1523
CA,female,2017,Ava,1522
CA,male,2015,Adrian,1521
CA,male,2015,Elijah,1521
TX,male,2013,Alexander,1521
CA,male,2011,Dylan,1520
CA,male,2015,Angel,1518
CA,male,2017,Nathan,1516
NY,male,2010,Michael,1516
CA,male,2010,Ryan,1515
CA,male,2015,Aaron,1513
TX,male,2015,Alexander,1513
CA,male,2017,Dylan,1511
TX,male,2013,David,1511
TX,male,2017,Mateo,1511
CA,male,2011,Elijah,1510
CA,male,2013,Christopher,1509
CA,male,2014,Joshua,1507
CA,male,2017,Michael,1505
CA,male,2017,James,1504
CA,male,2013,William,1503
TX,male,2016,Elijah,1503
TX,male,2015,Jayden,1502
CA,female,2013,Abigail,1500
TX,male,2015,Jose,1500
CA,male,2010,Dylan,1498
CA,male,2016,Adrian,1494
CA,female,2011,Natalie,1493
CA,female,2013,Camila,1493
TX,female,2012,Emily,1493
TX,male,2014,Alexander,1491
TX,male,2016,Ethan,1490
TX,female,2011,Mia,1487
TX,male,2010,Aiden,1486
TX,male,2011,Aiden,1486
TX,male,2010,Michael,1484
CA,male,2011,Ryan,1483
CA,female,2014,Camila,1483
CA,male,2011,Christian,1482
CA,male,2013,Elijah,1482
CA,male,2010,Benjamin,1481
CA,male,2014,Joseph,1481
CA,female,2017,Victoria,1481
CA,male,2017,Elijah,1481
TX,male,2011,Christopher,1481
TX,male,2013,Liam,1480
TX,male,2014,Michael,1480
CA,male,2015,Logan,1479
CA,male,2010,Elijah,1478
TX,male,2011,Angel,1477
CA,female,2010,Natalie,1476
TX,male,2011,Matthew,1476
TX,female,2010,Mia,1473
TX,male,2012,Matthew,1471
CA,male,2012,Ryan,1469
TX,male,2017,Elijah,1469
TX,male,2012,Alexander,1467
FL,female,2014,Isabella,1464
TX,male,2011,Joshua,1464
CA,male,2016,Andrew,1462
TX,male,2010,Noah,1462
FL,female,2013,Isabella,1461
TX,female,2013,Emily,1461
TX,male,2015,Aiden,1458
NY,male,2011,Michael,1457
CA,female,2012,Samantha,1456
CA,male,2010,Logan,1455
CA,male,2012,Sebastian,1455
NY,female,2011,Sophia,1455
TX,male,2011,Michael,1455
TX,male,2011,Mason,1454
CA,female,2011,Camila,1453
TX,male,2010,Alexander,1449
TX,male,2011,Anthony,1449
CA,male,2012,William,1448
TX,female,2011,Emily,1446
CA,female,2014,Ava,1444
TX,male,2013,Matthew,1444
CA,male,2010,Aaron,1443
CA,male,2011,William,1442
TX,male,2015,David,1442
CA,female,2015,Alexa,1439
CA,male,2010,Sebastian,1437
CA,male,2017,Anthony,1436
CA,male,2015,William,1434
TX,female,2015,Ava,1432
CA,male,2014,Christopher,1431
TX,female,2010,Abigail,1430
TX,male,2015,Elijah,1429
CA,male,2014,Lucas,1427
NY,male,2017,Liam,1427
TX,male,2013,Michael,1427
NY,male,2010,Jayden,1426
TX,male,2012,Michael,1425
CA,male,2016,Joseph,1424
TX,male,2016,Jose,1424
CA,male,2016,William,1422
CA,male,2016,Angel,1421
CA,male,2017,Isaac,1421
CA,female,2012,Ava,1416
NY,male,2016,Liam,1416
TX,female,2017,Ava,1416
NY,female,2011,Isabella,1415
TX,male,2017,Matthew,1415
CA,male,2014,Jonathan,1414
CA,male,2015,Mateo,1414
FL,female,2011,Sophia,1414
NY,female,2012,Sophia,1414
CA,female,2012,Camila,1413
CA,female,2013,Samantha,1412
CA,female,2015,Camila,1411
TX,male,2012,Mason,1411
CA,female,2010,Ava,1409
NY,male,2010,Jacob,1409
NY,male,2011,Jacob,1409
TX,male,2015,Michael,1409
TX,male,2016,David,1407
CA,male,2015,Lucas,1404
CA,female,2010,Sofia,1401
CA,male,2011,Brandon,1400
TX,male,2012,Anthony,1399
CA,male,2017,William,1398
TX,male,2012,Christopher,1398
TX,male,2017,Jacob,1397
TX,male,2010,Jonathan,1396
NY,male,2015,Liam,1394
NY,female,2013,Sophia,1393
CA,male,2011,Sebastian,1389
NY,male,2012,Michael,1389
TX,male,2014,Elijah,1388
CA,female,2011,Ava,1386
CA,male,2012,Logan,1385
FL,female,2013,Sophia,1385
NY,female,2010,Sophia,1385
CA,female,2013,Victoria,1383
TX,female,2015,Abigail,1383
TX,male,2010,Juan,1381
TX,male,2012,Angel,1381
TX,female,2013,Sofia,1381
CA,female,2016,Charlotte,1380
FL,female,2015,Isabella,1380
NY,male,2011,Jayden,1380
TX,male,2012,William,1378
TX,male,2014,Aiden,1378
CA,female,2017,Charlotte,1377
TX,male,2010,William,1377
CA,male,2017,Adrian,1375
FL,female,2012,Sophia,1374
CA,female,2010,Chloe,1371
CA,male,2013,Isaiah,1371
CA,male,2013,Ryan,1371
TX,male,2016,Michael,1370
TX,male,2017,Daniel,1365
TX,male,2012,Joshua,1363
TX,female,2014,Emily,1363
CA,male,2010,Jesus,1362
TX,male,2013,Mason,1362
CA,male,2015,Oliver,1361
TX,male,2013,Aiden,1361
TX,male,2014,Mason,1360
TX,female,2017,Camila,1358
CA,male,2010,Isaiah,1357
TX,male,2010,Christian,1357
CA,male,2013,Logan,1356
CA,male,2017,Mason,1356
CA,female,2013,Ava,1354
CA,male,2010,Kevin,1353
FL,male,2017,Liam,1352
NY,male,2012,Jacob,1351
TX,male,2014,William,1351
TX,male,2013,William,1350
CA,male,2013,Jose,1349
CA,male,2013,Lucas,1346
TX,male,2010,Andrew,1345
TX,male,2011,Alexander,1344
TX,male,2015,Mason,1344
NY,male,2010,Ethan,1341
CA,female,2015,Charlotte,1339
TX,male,2011,William,1339
CA,male,2011,Logan,1337
TX,female,2014,Ava,1337
TX,male,2017,Ethan,1337
CA,male,2015,Joshua,1335
TX,male,2017,Jose,1334
TX,male,2017,David,1332
CA,male,2014,Jose,1327
TX,male,2015,William,1322
TX,female,2012,Olivia,1321
TX,male,2016,William,1321
TX,female,2017,Sofia,1319
TX,male,2016,Alexander,1317
CA,male,2011,Isaiah,1316
CA,male,2012,Gabriel,1316
CA,male,2013,James,1315
CA,female,2010,Ashley,1314
TX,female,2011,Abigail,1314
CA,male,2010,Samuel,1313
CA,male,2012,Christian,1313
CA,male,2014,Ryan,1313
CA,male,2017,Andrew,1313
CA,male,2010,Mason,1312
CA,male,2016,Logan,1311
TX,male,2013,Elijah,1311
FL,male,2016,Liam,1307
FL,female,2017,Isabella,1306
TX,male,2016,Benjamin,1306
CA,female,2012,Victoria,1305
FL,female,2016,Isabella,1305
TX,male,2010,Matthew,1305
NY,male,2010,Joseph,1304
TX,female,2015,Emily,1304
TX,male,2013,Anthony,1303
TX,male,2016,Aiden,1303
CA,male,2017,Joseph,1302
NY,male,2014,Jacob,1302
CA,male,2012,Samuel,1300
TX,male,2011,Juan,1300
CA,male,2014,Kevin,1299
NY,male,2010,Daniel,1299
TX,male,2012,Elijah,1299
CA,male,2010,James,1298
NY,male,2013,Jacob,1297
NY,female,2015,Olivia,1297
CA,male,2010,Juan,1296
TX,male,2013,Joshua,1296
CA,female,2012,Natalie,1293
FL,male,2010,Jayden,1293
NY,male,2015,Jacob,1293
CA,male,2015,Christopher,1292
CA,male,2015,Jonathan,1292
CA,male,2012,Brandon,1288
CA,male,2013,Damian,1285
TX,male,2013,Christopher,1284
TX,male,2014,Anthony,1284
CA,male,2012,James,1283
CA,male,2012,Isaiah,1280
FL,male,2016,Noah,1280
CA,female,2011,Victoria,1279
CA,male,2013,Gabriel,1279
FL,male,2015,Liam,1279
NY,female,2012,Isabella,1279
CA,male,2011,Samuel,1278
NY,male,2012,Jayden,1278
NY,male,2014,Liam,1276
FL,male,2017,Noah,1275
TX,male,2010,Gabriel,1275
TX,male,2015,James,1275
TX,male,2016,Mateo,1275
CA,male,2013,Samuel,1274
NY,female,2014,Sophia,1274
CA,male,2012,Damian,1272
NY,male,2010,Anthony,1272
CA,female,2011,Chloe,1271
NY,female,2013,Isabella,1270
TX,male,2014,Angel,1270
TX,male,2016,James,1266
TX,male,2015,Angel,1265
NY,male,2011,Joseph,1263
TX,male,2015,Luke,1263
CA,male,2017,Angel,1262
NY,female,2013,Olivia,1262
TX,male,2013,Angel,1262
NY,male,2012,Ethan,1261
TX,female,2016,Camila,1260
TX,female,2013,Abigail,1259
NY,female,2013,Emma,1258
NY,female,2015,Emma,1258
TX,male,2010,Elijah,1257
NY,female,2014,Olivia,1255
NY,male,2014,Ethan,1255
TX,male,2014,Joshua,1255
CA,male,2010,Luis,1254
NY,male,2011,Matthew,1254
TX,female,2014,Abigail,1254
CA,male,2011,James,1251
TX,female,2012,Ava,1251
TX,male,2017,Alexander,1251
NY,male,2010,Matthew,1250
CA,male,2015,Isaiah,1249
CA,male,2014,Isaiah,1248
FL,female,2010,Sophia,1248
TX,male,2015,Christopher,1248
TX,male,2016,Jayden,1248
CA,male,2016,Christopher,1247
CA,male,2011,Kevin,1245
NY,male,2015,Ethan,1245
TX,male,2011,Elijah,1244
TX,male,2016,Luke,1244
CA,male,2013,Kevin,1243
NY,male,2014,Michael,1243
TX,female,2016,Abigail,1243
NY,male,2015,Noah,1242
TX,male,2016,Mason,1242
FL,female,2017,Emma,1241
TX,male,2015,Dylan,1240
TX,male,2017,James,1240
FL,female,2014,Sophia,1239
FL,male,2015,Noah,1239
NY,male,2012,Joseph,1239
TX,male,2011,Jonathan,1239
TX,male,2012,Liam,1239
NY,male,2011,Ethan,1238
NY,male,2017,Noah,1238
TX,male,2014,Luke,1238
CA,male,2014,Samuel,1237
TX,male,2014,Christopher,1237
CA,male,2015,Gabriel,1236
FL,male,2011,Jayden,1236
CA,male,2011,Liam,1235
TX,male,2011,Christian,1235
TX,female,2013,Ava,1234
TX,female,2012,Abigail,1233
CA,male,2016,Ryan,1232
CA,male,2014,Damian,1231
NY,female,2012,Emma,1231
CA,male,2011,Diego,1229
NY,male,2013,Michael,1229
TX,male,2013,Sebastian,1229
TX,male,2017,Jayden,1229
NY,male,2016,Jacob,1228
TX,female,2016,Emily,1228
NY,female,2017,Olivia,1227
TX,male,2010,Joseph,1227
FL,female,2015,Emma,1224
NY,male,2010,Ryan,1224
NY,male,2012,Mason,1223
TX,female,2014,Victoria,1222
CA,female,2010,Camila,1220
FL,male,2014,Noah,1220
NY,male,2016,Noah,1220
TX,female,2011,Olivia,1220
NY,female,2016,Olivia,1219
CA,male,2011,Jesus,1217
FL,male,2011,Jacob,1217
FL,female,2016,Olivia,1217
NY,male,2013,Ethan,1215
CA,male,2016,Joshua,1214
TX,male,2013,Nathan,1214
NY,male,2012,Matthew,1212
TX,male,2015,Anthony,1212
NY,female,2014,Emma,1211
TX,male,2011,Gabriel,1210
FL,male,2010,Jacob,1209
CA,male,2010,Nicholas,1207
CA,female,2011,Elizabeth,1206
TX,male,2010,Adrian,1206
NY,female,2017,Emma,1204
TX,male,2012,Jonathan,1204
TX,female,2015,Victoria,1204
NY,male,2013,Liam,1203
CA,male,2015,Ryan,1200
FL,female,2014,Emma,1199
TX,male,2016,Dylan,1199
TX,male,2017,Michael,1198
CA,male,2012,Kevin,1197
FL,female,2013,Emma,1197
CA,female,2014,Samantha,1196
TX,male,2011,Adrian,1196
CA,male,2015,Samuel,1194
TX,male,2017,Benjamin,1194
CA,male,2011,Luis,1193
TX,male,2012,Juan,1190
TX,male,2017,Aiden,1189
CA,female,2016,Evelyn,1187
CA,male,2016,Samuel,1187
TX,male,2014,James,1187
FL,male,2014,Liam,1186
TX,female,2010,Ava,1186
NY,female,2010,Olivia,1184
NY,female,2016,Emma,1184
TX,male,2014,Dylan,1183
CA,male,2014,Gabriel,1182
TX,male,2012,Nathan,1179
TX,male,2012,Andrew,1177
FL,female,2015,Sophia,1176
NY,female,2011,Olivia,1175
NY,male,2015,Michael,1174
TX,male,2010,Nathan,1173
CA,female,2017,Evelyn,1172
FL,female,2017,Olivia,1168
TX,male,2017,Julian,1168
NY,female,2014,Isabella,1164
TX,female,2010,Olivia,1162
CA,male,2010,Evan,1161
FL,female,2016,Emma,1161
TX,male,2015,Benjamin,1161
CA,male,2016,Luke,1159
TX,male,2013,Christian,1159
TX,male,2015,Joshua,1159
TX,female,2011,Ava,1158
CA,male,2011,Juan,1156
FL,female,2015,Olivia,1156
FL,female,2016,Sophia,1155
NY,male,2011,Anthony,1155
TX,male,2014,Benjamin,1155
NY,male,2015,Matthew,1154
CA,female,2011,Ashley,1152
CA,male,2012,Lucas,1152
CA,male,2015,Jose,1152
FL,male,2012,Jayden,1152
FL,female,2014,Olivia,1152
TX,male,2017,William,1151
TX,male,2013,Andrew,1150
TX,male,2014,Juan,1150
CA,male,2013,Brandon,1148
CA,male,2015,Luke,1148
NY,male,2013,Jayden,1148
NY,male,2013,Mason,1146
TX,male,2013,Isaac,1146
CA,female,2013,Natalie,1144
CA,male,2011,Lucas,1143
NY,male,2010,Alexander,1142
NY,male,2013,Joseph,1142
NY,male,2014,Noah,1142
CA,male,2013,Christian,1141
NY,female,2012,Olivia,1141
NY,male,2017,Jacob,1141
TX,male,2011,Andrew,1141
CA,female,2017,Luna,1140
NY,male,2011,Mason,1140
CA,male,2014,Luke,1139
TX,male,2011,Sebastian,1139
NY,male,2012,Ryan,1138
TX,male,2016,Joshua,1138
NY,male,2011,Daniel,1137
TX,female,2012,Sofia,1137
TX,male,2016,Christopher,1137
TX,female,2016,Victoria,1136
CA,male,2010,Carlos,1133
CA,female,2014,Charlotte,1133
TX,male,2014,Nathan,1132
CA,female,2010,Elizabeth,1131
CA,male,2014,Oliver,1130
TX,male,2012,Christian,1129
TX,male,2016,Angel,1128
NY,male,2013,Noah,1126
TX,male,2013,Luke,1126
TX,female,2015,Alexa,1125
TX,male,2016,Anthony,1125
FL,male,2013,Jayden,1123
NY,female,2011,Emma,1123
TX,male,2017,Dylan,1123
CA,male,2016,Jose,1122
NY,female,2015,Sophia,1122
NY,male,2011,Ryan,1121
NY,female,2016,Sophia,1120
NY,male,2014,Joseph,1118
NY,male,2013,Matthew,1117
TX,female,2015,Camila,1117
TX,male,2015,Isaac,1117
TX,female,2017,Abigail,1117
CA,male,2012,Jesus,1116
CA,male,2013,Mateo,1116
CA,female,2014,Evelyn,1115
TX,male,2010,John,1114
TX,male,2017,Luke,1114
TX,male,2015,Julian,1113
CA,female,2016,Scarlett,1111
TX,male,2012,Sebastian,1111
CA,male,2016,Isaiah,1110
CA,male,2017,Isaiah,1109
NY,male,2013,Daniel,1109
TX,male,2010,Luis,1109
CA,female,2015,Samantha,1108
TX,male,2011,Nathan,1108
TX,female,2014,Camila,1108
NY,male,2016,Ethan,1107
TX,female,2017,Victoria,1106
CA,female,2011,Madison,1104
CA,female,2012,Elizabeth,1104
CA,male,2012,Luis,1104
CA,male,2010,Lucas,1103
FL,male,2010,Michael,1103
TX,male,2016,Julian,1103
TX,male,2012,Gabriel,1102
TX,male,2011,Isaac,1101
CA,male,2014,Mateo,1100
CA,male,2016,Jonathan,1100
CA,female,2017,Scarlett,1100
NY,male,2012,Daniel,1099
NY,male,2012,Liam,1099
CA,male,2014,Dominic,1098
CA,male,2017,Ryan,1098
TX,male,2017,Oliver,1098
CA,female,2012,Chloe,1097
FL,male,2013,Jacob,1097
TX,male,2013,Dylan,1097
TX,male,2014,Isaac,1095
NY,male,2016,Michael,1093
CA,male,2011,Nicholas,1091
TX,male,2017,Logan,1091
TX,male,2013,Jonathan,1090
TX,male,2017,Santiago,1090
NY,male,2012,Alexander,1089
TX,male,2013,Adrian,1089
CA,male,2014,Christian,1088
CA,male,2017,Samuel,1088
TX,female,2010,Madison,1088
TX,male,2013,Juan,1087
NY,male,2011,Alexander,1086
TX,female,2017,Emily,1086
CA,female,2014,Elizabeth,1085
CA,female,2017,Penelope,1084
CA,male,2017,Jonathan,1083
TX,male,2013,Gabriel,1082
TX,male,2010,Julian,1081
FL,male,2012,Jacob,1080
NY,male,2014,Mason,1080
TX,male,2013,Benjamin,1080
NY,male,2010,Christopher,1079
NY,male,2011,Aiden,1078
TX,male,2014,John,1078
NY,male,2012,Anthony,1076
TX,male,2010,Jesus,1076
CA,female,2010,Victoria,1075
FL,male,2013,Liam,1074
TX,female,2013,Victoria,1074
CA,female,2014,Natalie,1073
CA,male,2010,Damian,1072
CA,male,2011,Evan,1072
CA,male,2017,Christopher,1072
FL,male,2010,Anthony,1072
CA,male,2017,Jose,1071
